Project Name,Package Name,Type Name,Method Name,Code Smell
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,consumerConfig,Long Statement
